          3.430      -Infinity      -Infinity
       2130.030        -30.168        -21.332
       2133.460        -28.999        -20.505
       2136.890        -30.231        -21.377
       2140.320        -29.872        -21.123
       2143.750        -28.133        -19.893
       2147.180        -32.958        -23.305
       2150.610        -27.350        -19.339
       2154.040        -31.002        -21.922
       2157.470        -29.411        -20.797
       2160.900        -27.683        -19.575
       2164.330        -33.674        -23.811
       2167.760        -27.118        -19.175
       2171.190        -31.653        -22.382
       2174.620        -29.026        -20.524
       2178.050        -28.519        -20.166
       2181.480        -32.040        -22.656
       2184.910        -27.941        -19.757
       2188.340        -31.668        -22.392
       2191.770        -28.961        -20.479
       2195.200        -30.187        -21.346
       2198.630        -29.760        -21.043
       2202.060        -29.893        -21.138
       2205.490        -30.073        -21.265
       2208.920        -29.062        -20.550
       2212.350        -31.735        -22.440
       2215.780        -27.903        -19.730
       2219.210        -32.415        -22.921
       2222.640        -28.491        -20.147
       2226.070        -29.270        -20.697
       2229.500        -31.569        -22.323
       2232.930        -27.528        -19.465
       2236.360        -33.492        -23.682
       2239.790        -27.988        -19.790
       2243.220        -30.667        -21.685
       2246.650        -29.915        -21.153
       2250.080        -28.684        -20.283
       2253.510        -32.187        -22.759
       2256.940        -28.057        -19.839
       2260.370        -32.295        -22.836
       2263.800        -28.797        -20.363
       2267.230        -30.247        -21.388
       2270.660        -30.383        -21.484
       2274.090        -29.432        -20.812
       2277.520        -30.711        -21.716
       2280.950        -29.506        -20.864
       2284.380        -31.270        -22.111
       2287.810        -28.313        -20.020
       2291.240        -33.391        -23.611
       2294.670        -27.863        -19.702
       2298.100        -30.064        -21.258
       2301.530        -30.967        -21.897
       2304.960        -26.941        -19.050
       2308.390        -36.073        -25.507
       2311.820        -27.411        -19.383
       2315.250        -30.159        -21.326
       2318.680        -31.106        -21.995
       2322.110        -28.426        -20.100
       2325.540        -31.688        -22.407
       2328.970        -30.013        -21.223
       2332.400        -30.111        -21.292
       2335.830        -29.621        -20.945
       2339.260        -32.418        -22.923
       2342.690        -27.774        -19.639
       2346.120        -32.796        -23.190
       2349.550        -28.878        -20.420
       2352.980        -28.517        -20.165
       2356.410        -33.503        -23.690
       2359.840        -27.319        -19.318
       2363.270        -33.689        -23.822
       2366.700        -28.627        -20.242
       2370.130        -30.501        -21.567
       2373.560        -30.485        -21.556
       2376.990        -29.536        -20.885
       2380.420        -31.418        -22.216
       2383.850        -29.096        -20.574
       2387.280        -32.219        -22.783
       2390.710        -28.835        -20.390
       2394.140        -32.215        -22.779
       2397.570        -29.112        -20.585
       2401.000        -31.452        -22.240
       2404.430        -29.619        -20.944
       2407.860        -30.230        -21.376
       2411.290        -31.052        -21.957
       2414.720        -28.363        -20.055
       2418.150        -34.421        -24.340
       2421.580        -27.538        -19.473
       2425.010        -33.127        -23.424
       2428.440        -29.005        -20.510
       2431.870        -29.396        -20.786
       2435.300        -32.282        -22.827
       2438.730        -28.718        -20.307
       2442.160        -32.036        -22.653
       2445.590        -30.012        -21.221
       2449.020        -30.985        -21.910
       2452.450        -29.482        -20.847
       2455.880        -33.227        -23.495
       2459.310        -27.952        -19.765
       2462.740        -33.077        -23.389
       2466.170        -28.945        -20.467
       2469.600        -28.707        -20.299
       2473.030        -33.678        -23.814
       2476.460        -27.374        -19.357
       2479.890        -34.506        -24.399
       2483.320        -28.908        -20.441
       2486.750        -30.888        -21.841
       2490.180        -30.694        -21.704
       2493.610        -31.052        -21.957
       2497.040        -29.688        -20.992
       2500.470        -31.935        -22.582
       2503.900        -29.767        -21.048
       2507.330        -29.605        -20.934
       2510.760        -32.635        -23.076
       2514.190        -27.876        -19.711
       2517.620        -35.408        -25.037
       2521.050        -28.051        -19.835
       2524.480        -32.529        -23.002
       2527.910        -29.647        -20.964
       2531.340        -30.329        -21.446
       2534.770        -31.289        -22.125
       2538.200        -29.978        -21.198
       2541.630        -31.425        -22.221
       2545.060        -30.085        -21.273
       2548.490        -31.793        -22.481
       2551.920        -29.222        -20.663
       2555.350        -33.499        -23.687
       2558.780        -28.470        -20.131
       2562.210        -34.184        -24.172
       2565.640        -28.549        -20.187
       2569.070        -32.516        -22.992
       2572.500        -29.481        -20.846
       2575.930        -29.919        -21.156
       2579.360        -32.221        -22.784
       2582.790        -28.509        -20.159
       2586.220        -33.730        -23.851
       2589.650        -29.864        -21.117
       2593.080        -30.815        -21.789
       2596.510        -30.993        -21.915
       2599.940        -32.005        -22.631
       2603.370        -27.671        -19.566
       2606.800        -39.027        -27.596
       2610.230        -27.085        -19.152
       2613.660        -30.894        -21.846
       2617.090        -31.065        -21.967
       2620.520        -28.472        -20.133
       2623.950        -33.194        -23.472
       2627.380        -31.057        -21.961
       2630.810        -29.856        -21.111
       2634.240        -31.237        -22.088
       2637.670        -31.556        -22.314
       2641.100        -28.350        -20.047
       2644.530        -35.304        -24.964
       2647.960        -28.625        -20.241
       2651.390        -33.674        -23.811
       2654.820        -29.045        -20.538
       2658.250        -34.485        -24.384
       2661.680        -28.535        -20.177
       2665.110        -32.374        -22.892
       2668.540        -30.454        -21.534
       2671.970        -30.197        -21.352
       2675.400        -31.605        -22.348
       2678.830        -32.101        -22.699
       2682.260        -29.335        -20.743
       2685.690        -32.261        -22.812
       2689.120        -30.149        -21.319
       2692.550        -28.850        -20.400
       2695.980        -34.243        -24.213
       2699.410        -28.262        -19.984
       2702.840        -34.750        -24.572
       2706.270        -29.338        -20.745
       2709.700        -32.833        -23.217
       2713.130        -30.325        -21.443
       2716.560        -32.112        -22.707
       2719.990        -29.945        -21.174
       2723.420        -33.970        -24.020
       2726.850        -27.933        -19.752
       2730.280        -38.110        -26.948
       2733.710        -27.735        -19.612
       2737.140        -32.273        -22.820
       2740.570        -30.746        -21.741
       2744.000        -30.377        -21.480
       2747.430        -31.361        -22.176
       2750.860        -33.230        -23.497
       2754.290        -28.832        -20.387
       2757.720        -33.957        -24.011
       2761.150        -29.391        -20.783
       2764.580        -31.185        -22.051
       2768.010        -30.950        -21.885
       2771.440        -31.074        -21.973
       2774.870        -30.970        -21.899
       2778.300        -30.523        -21.583
       2781.730        -32.174        -22.750
       2785.160        -30.036        -21.238
       2788.590        -32.164        -22.744
       2792.020        -31.768        -22.463
       2795.450        -30.196        -21.352
       2798.880        -31.771        -22.465
       2802.310        -30.623        -21.654
       2805.740        -29.129        -20.597
       2809.170        -33.999        -24.041
       2812.600        -28.473        -20.133
       2816.030        -34.762        -24.581
       2819.460        -30.509        -21.573
       2822.890        -30.861        -21.822
       2826.320        -32.932        -23.287
       2829.750        -29.935        -21.167
       2833.180        -29.533        -20.883
       2836.610        -33.276        -23.530
       2840.040        -28.008        -19.805
       2843.470        -35.870        -25.364
       2846.900        -30.182        -21.342
       2850.330        -31.458        -22.244
       2853.760        -31.797        -22.484
       2857.190        -31.355        -22.171
       2860.620        -30.096        -21.281
       2864.050        -32.604        -23.055
       2867.480        -30.825        -21.797
       2870.910        -31.271        -22.112
       2874.340        -30.429        -21.516
       2877.770        -32.471        -22.960
       2881.200        -29.075        -20.559
       2884.630        -34.202        -24.184
       2888.060        -31.290        -22.126
       2891.490        -30.110        -21.291
       2894.920        -34.536        -24.421
       2898.350        -28.996        -20.503
       2901.780        -31.220        -22.076
       2905.210        -31.019        -21.934
       2908.640        -30.233        -21.378
       2912.070        -32.382        -22.897
       2915.500        -31.678        -22.400
       2918.930        -30.757        -21.749
       2922.360        -34.349        -24.288
       2925.790        -28.948        -20.469
       2929.220        -36.929        -26.113
       2932.650        -28.317        -20.023
       2936.080        -34.577        -24.449
       2939.510        -29.873        -21.123
       2942.940        -32.330        -22.861
       2946.370        -31.385        -22.193
       2949.800        -33.007        -23.340
       2953.230        -29.346        -20.751
       2956.660        -35.722        -25.259
       2960.090        -29.023        -20.523
       2963.520        -34.475        -24.377
       2966.950        -30.235        -21.379
       2970.380        -33.154        -23.443
       2973.810        -29.565        -20.906
       2977.240        -34.385        -24.314
       2980.670        -31.247        -22.095
       2984.100        -29.992        -21.208
       2987.530        -37.600        -26.587
       2990.960        -27.681        -19.573
       2994.390        -31.639        -22.372
       2997.820        -31.060        -21.962
       3001.250        -30.015        -21.224
       3004.680        -32.483        -22.969
       3008.110        -33.516        -23.699
       3011.540        -28.154        -19.908
       3014.970        -38.558        -27.265
       3018.400        -29.238        -20.674
       3021.830        -33.796        -23.897
       3025.260        -30.544        -21.598
       3028.690        -33.183        -23.464
       3032.120        -30.639        -21.665
       3035.550        -31.843        -22.516
       3038.980        -34.769        -24.585
       3042.410        -28.804        -20.368
       3045.840        -36.372        -25.719
       3049.270        -29.158        -20.618
